{6}	{19}	6.20	27.43
{19}	{13}	7.40	30.83
{13}	{19}	7.40	25.00
{19}	{16}	11.80	49.17
{16}	{19}	11.80	27.83
{19}	{15}	7.00	29.17
{15}	{19}	7.00	25.00
{19}	{11}	7.60	31.67
{11}	{19}	7.60	27.74
{19}	{1}	6.80	28.33
{1}	{19}	6.80	22.82
{19}	{5}	7.20	30.00
{5}	{19}	7.20	28.57
{19}	{4}	6.60	27.50
{4}	{19}	6.60	26.83
{19}	{2}	7.80	32.50
{2}	{19}	7.80	29.55
{19}	{18}	10.40	43.33
{18}	{19}	10.40	37.68
{19}	{9}	6.40	26.67
{9}	{19}	6.40	23.02
{19}	{14}	6.40	26.67
{14}	{19}	6.40	25.00
{12}	{7}	5.60	22.95
{7}	{12}	5.60	23.33
{12}	{6}	6.00	24.59
{6}	{12}	6.00	26.55
{12}	{13}	9.20	37.70
{13}	{12}	9.20	31.08
{12}	{16}	13.40	54.92
{16}	{12}	13.40	31.60
{12}	{15}	8.20	33.61
{15}	{12}	8.20	29.29
{12}	{11}	5.80	23.77
{11}	{12}	5.80	21.17
{12}	{1}	8.20	33.61
{1}	{12}	8.20	27.52
{12}	{5}	7.80	31.97
{5}	{12}	7.80	30.95
{12}	{4}	7.60	31.15
{4}	{12}	7.60	30.89
{12}	{2}	8.20	33.61
{2}	{12}	8.20	31.06
{12}	{18}	6.80	27.87
{18}	{12}	6.80	24.64
{12}	{9}	7.60	31.15
{9}	{12}	7.60	27.34
{12}	{14}	7.80	31.97
{14}	{12}	7.80	30.47
{6}	{7}	5.60	24.78
{7}	{6}	5.60	23.33
{6}	{13}	7.20	31.86
{13}	{6}	7.20	24.32
{6}	{16}	10.80	47.79
{16}	{6}	10.80	25.47
{6}	{15}	7.80	34.51
{15}	{6}	7.80	27.86
{6}	{11}	7.40	32.74
{11}	{6}	7.40	27.01
{6}	{1}	7.00	30.97
{1}	{6}	7.00	23.49
{6}	{5}	6.20	27.43
{5}	{6}	6.20	24.60
{6}	{4}	6.60	29.20
{4}	{6}	6.60	26.83
{6}	{2}	7.40	32.74
{2}	{6}	7.40	28.03
{6}	{18}	7.20	31.86
{18}	{6}	7.20	26.09
{6}	{9}	6.80	30.09
{9}	{6}	6.80	24.46
{6}	{14}	6.40	28.32
{14}	{6}	6.40	25.00
{13}	{7}	7.60	25.68
{7}	{13}	7.60	31.67
{13}	{16}	13.80	46.62
{16}	{13}	13.80	32.55
{13}	{15}	9.20	31.08
{15}	{13}	9.20	32.86
{13}	{11}	9.80	33.11
{11}	{13}	9.80	35.77
{13}	{1}	10.20	34.46
{1}	{13}	10.20	34.23
{13}	{5}	9.40	31.76
{5}	{13}	9.40	37.30
{13}	{4}	8.60	29.05
{4}	{13}	8.60	34.96
{13}	{2}	8.80	29.73
{2}	{13}	8.80	33.33
{13}	{18}	7.80	26.35
{18}	{13}	7.80	28.26
{13}	{9}	7.20	24.32
{9}	{13}	7.20	25.90
{13}	{14}	11.00	37.16
{14}	{13}	11.00	42.97
{16}	{7}	9.80	23.11
{7}	{16}	9.80	40.83
{16}	{15}	13.80	32.55
{15}	{16}	13.80	49.29
{16}	{11}	12.20	28.77
{11}	{16}	12.20	44.53
{16}	{1}	16.20	38.21
{1}	{16}	16.20	54.36
{16}	{5}	12.20	28.77
{5}	{16}	12.20	48.41
{16}	{4}	10.60	25.00
{4}	{16}	10.60	43.09
{16}	{2}	13.60	32.08
{2}	{16}	13.60	51.52
{16}	{18}	13.20	31.13
{18}	{16}	13.20	47.83
{16}	{9}	13.20	31.13
{9}	{16}	13.20	47.48
{16}	{14}	11.00	25.94
{14}	{16}	11.00	42.97
{15}	{7}	6.00	21.43
{7}	{15}	6.00	25.00
{15}	{11}	9.80	35.00
{11}	{15}	9.80	35.77
{15}	{1}	10.80	38.57
{1}	{15}	10.80	36.24
{15}	{5}	9.20	32.86
{5}	{15}	9.20	36.51
{15}	{4}	8.00	28.57
{4}	{15}	8.00	32.52
{15}	{2}	8.60	30.71
{2}	{15}	8.60	32.58
{15}	{18}	7.60	27.14
{18}	{15}	7.60	27.54
{15}	{9}	8.40	30.00
{9}	{15}	8.40	30.22
{15}	{14}	8.40	30.00
{14}	{15}	8.40	32.81
{11}	{7}	8.00	29.20
{7}	{11}	8.00	33.33
{11}	{1}	7.40	27.01
{1}	{11}	7.40	24.83
{11}	{5}	7.60	27.74
{5}	{11}	7.60	30.16
{11}	{4}	7.60	27.74
{4}	{11}	7.60	30.89
{11}	{2}	6.80	24.82
{2}	{11}	6.80	25.76
{11}	{18}	7.60	27.74
{18}	{11}	7.60	27.54
{11}	{9}	7.80	28.47
{9}	{11}	7.80	28.06
{11}	{14}	7.40	27.01
{14}	{11}	7.40	28.91
{1}	{7}	7.00	23.49
{7}	{1}	7.00	29.17
{1}	{5}	10.00	33.56
{5}	{1}	10.00	39.68
{1}	{4}	9.20	30.87
{4}	{1}	9.20	37.40
{1}	{2}	9.00	30.20
{2}	{1}	9.00	34.09
{1}	{18}	8.00	26.85
{18}	{1}	8.00	28.99
{1}	{9}	9.60	32.21
{9}	{1}	9.60	34.53
{1}	{14}	8.20	27.52
{14}	{1}	8.20	32.03
{5}	{7}	7.20	28.57
{7}	{5}	7.20	30.00
{5}	{4}	8.80	34.92
{4}	{5}	8.80	35.77
{5}	{2}	6.80	26.98
{2}	{5}	6.80	25.76
{5}	{18}	9.80	38.89
{18}	{5}	9.80	35.51
{5}	{9}	9.00	35.71
{9}	{5}	9.00	32.37
{5}	{14}	7.20	28.57
{14}	{5}	7.20	28.13
{4}	{7}	6.40	26.02
{7}	{4}	6.40	26.67
{4}	{2}	8.60	34.96
{2}	{4}	8.60	32.58
{4}	{18}	7.80	31.71
{18}	{4}	7.80	28.26
{4}	{9}	9.00	36.59
{9}	{4}	9.00	32.37
{4}	{14}	8.20	33.33
{14}	{4}	8.20	32.03
{2}	{7}	6.00	22.73
{7}	{2}	6.00	25.00
{2}	{18}	8.60	32.58
{18}	{2}	8.60	31.16
{2}	{9}	7.20	27.27
{9}	{2}	7.20	25.90
{2}	{14}	8.40	31.82
{14}	{2}	8.40	32.81
{18}	{7}	7.00	25.36
{7}	{18}	7.00	29.17
{18}	{9}	9.40	34.06
{9}	{18}	9.40	33.81
{18}	{14}	7.40	26.81
{14}	{18}	7.40	28.91
{9}	{7}	6.80	24.46
{7}	{9}	6.80	28.33
{9}	{14}	8.60	30.94
{14}	{9}	8.60	33.59
{14}	{7}	7.60	29.69
{7}	{14}	7.60	31.67
{0}	{7,10}	2.20	8.21
{7}	{10,0}	2.20	9.17
{10}	{0,7}	2.20	7.59
{7,0}	{10}	2.20	29.73
{7,10}	{0}	2.20	36.67
{10,0}	{7}	2.20	22.00
{0}	{8,10}	4.00	14.93
{8}	{10,0}	4.00	8.85
{10}	{0,8}	4.00	13.79
{8,0}	{10}	4.00	33.90
{8,10}	{0}	4.00	29.85
{10,0}	{8}	4.00	40.00
{0}	{3,10}	2.00	7.46
{3}	{10,0}	2.00	6.67
{10}	{0,3}	2.00	6.90
{3,0}	{10}	2.00	35.71
{3,10}	{0}	2.00	23.81
{10,0}	{3}	2.00	20.00
{0}	{17,10}	3.00	11.19
{17}	{10,0}	3.00	12.61
{10}	{0,17}	3.00	10.34
{17,0}	{10}	3.00	40.54
{17,10}	{0}	3.00	41.67
{10,0}	{17}	3.00	30.00
